population,controlled_requested_percent,profile,samples,proposal_odds_multiplier,targeted_event_count,importance_estimate,importance_95_low,importance_95_high,effective_sample_size,exact_probability,relative_error_vs_exact,estimate_kind
1500,45,q25_22_17,20000,2.8518518518518516,13524,0.016472544473728548,0.016144287116317626,0.01680080183113947,106.35069409013175,0.016606728537637983525627378743482647271794548478405001465541253992698460006482611,-0.008080102207085325,modeled_importance_sampling
1500,45,q60_44_41,20000,2.7417417417417416,11649,0.00017043190565163512,0.00016604504291262004,0.00017481876839065019,3.9538753855585638,0.00017034597089777773402308264453163121121524659798255325499638337052147669913455206,0.000504471889792769,modeled_importance_sampling
5000,10,q25_22_17,20000,20.999999999999996,13401,3.885098436990166e-12,3.771122902118102e-12,3.999073971862231e-12,13.336700869157147,3.9176059152926017530755844047082941483632646941064758001706551923564168803669581E-12,-0.008297791816052995,modeled_importance_sampling
5000,10,q60_44_41,20000,20.189189189189186,11194,7.304885043476725e-28,7.031697835976495e-28,7.578072250976955e-28,3.2953290574468093,7.3674578697323319481705508887685959666757924931431206344499785127595137401013431E-28,-0.008493136623512214,modeled_importance_sampling
5000,20,q25_22_17,20000,9.333333333333332,13385,2.425711886128659e-07,2.3593886696937259e-07,2.492035102563592e-07,5.604023341118945,2.4502467019686395698074511765160946526206670266786906583959110599071198637517258E-7,-0.010013202270721631,modeled_importance_sampling
5000,20,q60_44_41,20000,8.972972972972972,11773,4.3139860098132623e-16,4.1637803182622383e-16,4.464191701364287e-16,5.0429970867328064,4.3245233075929770144810026284030883825444011129435985614466224272774964945804521E-16,-0.0024366379899521825,modeled_importance_sampling
5000,25,q25_22_17,20000,6.999999999999999,13411,6.900122353330092e-06,6.719672614184367e-06,7.080572092475816e-06,30.445528516255994,0.0000069444769661545379574135908049358404856570239542566733734648719146691180822421628,-0.0063870343354320396,modeled_importance_sampling
5000,25,q60_44_41,20000,6.729729729729729,11741,1.4458300196185652e-12,1.3972861962251462e-12,1.4943738430119843e-12,1.3355288168227324,1.4680364252654636905796939216113739624344772515162282212726415620583710890606156E-12,-0.015126603989327395,modeled_importance_sampling
5000,30,q25_22_17,20000,5.444444444444444,13504,9.485101856884373e-05,9.250913326818386e-05,9.71929038695036e-05,13.579821770998722,0.000094666471694735176087298780374189846934094833199641334978671335342477059895268729,0.0019494428260054969,modeled_importance_sampling
5000,30,q60_44_41,20000,5.234234234234234,12096,8.257480055139921e-10,7.996885229226583e-10,8.518074881053259e-10,3.8526874677434577,8.1766373120295587281860316294102106618214910666542245279468073909339388303916154E-10,0.009887040359662955,modeled_importance_sampling
5000,33.33,q25_22_17,20000,4.665266946610679,13402,0.00040670926064736827,0.00039707034888871476,0.0004163481724060218,15.817636661620222,0.00040294200387532162539536759402136564715983080444161411306494769256355667781347342,0.009349377170448356,modeled_importance_sampling
5000,33.33,q60_44_41,20000,4.485140809675904,12089,2.6653883887494018e-08,2.583536371478448e-08,2.7472404060203554e-08,17.17923425364841,2.6840621165686176617121460932082860303817627193261732597200938233426552213826435E-8,-0.006957263657924912,modeled_importance_sampling
5000,35,q25_22_17,20000,4.333333333333333,13407,0.0007684769802504528,0.0007505929274804615,0.0007863610330204441,27.748909452517967,0.00077007173299024555589345814964459197058498725649931834342625869846967309057199042,-0.002070914528442971,modeled_importance_sampling
5000,35,q60_44_41,20000,4.166023166023166,12022,1.27357645178612e-07,1.2354842260891262e-07,1.3116686774831136e-07,1.157965182706353,1.2731769487994824855200971802576070925217576626655286526737564233810119411119930E-7,0.00031378433847252583,modeled_importance_sampling
5000,40,q25_22_17,20000,3.499999999999999,13442,0.0042037882918241,0.004112253456922055,0.0042953231267261445,3.6431051149417604,0.0042418992977056115334074775300993428964491458149213878816191010227722871478031707,-0.008984420234144946,modeled_importance_sampling
5000,40,q60_44_41,20000,3.364864864864864,12196,7.615812389550729e-06,7.405095699765733e-06,7.826529079335725e-06,3.9611847838808774,0.0000075531532662930380158068517530599264427747565053057804562784845448859660040055605,0.008295756891008123,modeled_importance_sampling
5000,45,q25_22_17,20000,2.8518518518518516,13465,0.0170510224005502,0.016712071939266267,0.017389972861834132,115.03459856363376,0.017130919123608236627174451011520046692399825486050452032828600717715451831018872,-0.0046638900389139315,modeled_importance_sampling
5000,45,q60_44_41,20000,2.7417417417417416,12241,0.00020821539333285686,0.00020290972172510547,0.00021352106494060825,26.223514308808273,0.00020684880450236931098885403817499670640121212294424937454858714747934814135069406,0.006606704030875343,modeled_importance_sampling
10000,10,q25_22_17,20000,20.999999999999996,13402,4.307654943154842e-12,4.180248259823333e-12,4.435061626486352e-12,2.3732115466485877,4.3825897801590762215961286200054486034629075473997785289966890540999506564276391E-12,-0.017098300494260334,modeled_importance_sampling
